*ELEMENT, TYPE=C3D4
2977, 495, 495, 4751, 4750, 4851
4575, 496, 496, 5167, 5338, 5077
5117, 497, 497, 2566, 2554, 2289
2143, 498, 498, 1355, 1532, 1889
1586, 499, 499, 4062, 4231, 4262
4230, 500, 500, 6324, 6565, 6652
6445, 501, 501, 6272, 6509, 6185
6289, 502, 502, 8396, 8266, 7958
8131, 503, 503, 5074, 4928, 4810
4812, 504, 504, 8773, 8956, 8725
8741, 505, 505, 5896, 5828, 5677
5829, 506, 506, 5556, 5344, 5557
5286, 507, 507, 2960, 3239, 3066
2792, 508, 508, 2385, 2003, 2342
2274, 509, 509, 4957, 4752, 4751
4842, 510, 510, 8871, 8866, 9019
9129, 511, 511, 10709, 10850, 10370
10798, 512, 512, 4940, 4670, 4731
4683, 513, 513, 4095, 3957, 4174
4260, 514, 514, 6278, 6511, 6560
6469, 515, 515, 5227, 5485, 5474
5462, 516, 516, 4993, 5264, 5070
5140, 517, 517, 5835, 5787, 5990
5654, 518, 518, 7344, 7307, 7479
7630, 519, 519, 4439, 4668, 4423
4582, 520, 520, 5294, 5380, 5387
5200, 521, 521, 3049, 3397, 3023
3316, 522, 522, 805, 981, 1475
872, 523, 523, 3350, 3146, 3518
3386, 524, 524, 296, 348, 908
303, 525, 525, 4732, 4459, 4599
4602, 526, 526, 2805, 2852, 2575
2386, 527, 527, 2955, 3091, 3379
3194, 528, 528, 7099, 6920, 6801
7047, 529, 529, 4234, 4106, 4326
4125, 530, 530, 6836, 7192, 6851
7034, 531, 531, 6301, 6415, 6269
6265, 532, 532, 5346, 5364, 5554
5484, 533, 533, 6094, 6095, 6037
6265, 534, 534, 7092, 7339, 7093
7253, 535, 535, 6773, 6530, 6794
6662, 536, 536, 9396, 9544, 9340
9161, 537, 537, 10094, 10522, 10162
10495, 538, 538, 7258, 7068, 7140
6919, 539, 539, 5959, 5912, 6059
6147, 540, 540, 5014, 5251, 5161
5088, 541, 541, 2632, 2704, 2346
2706, 542, 542, 4928, 5079, 4966
4754, 543, 543, 4216, 4483, 4403
4562, 544, 544, 4129, 4400, 4174
4260, 545, 545, 3323, 3378, 2933
3232, 546, 546, 5559, 5697, 5560
5463, 547, 547, 4392, 4584, 4567
4298, 548, 548, 4269, 4342, 4364
4221, 549, 549, 493, 451, 1128
1068, 550, 550, 3016, 2943, 3325
3121, 551, 551, 3960, 4126, 4051
3879, 552, 552, 5997, 5834, 5913
5787, 553, 553, 1776, 2127, 2241
1894, 554, 554, 3584, 3255, 3505
3472, 555, 555, 4225, 4368, 4391
4438, 556, 556, 3548, 3580, 3801
3636, 557, 557, 2810, 2911, 2429
2915, 558, 558, 3959, 4272, 4063
4028, 559, 559, 6576, 6530, 6794
6875, 560, 560, 2700, 2622, 2318
2671, 561, 561, 5987, 6224, 6256
6149, 562, 562, 5455, 5344, 5285
5133, 563, 563, 9653, 9911, 9741
9736, 564, 564, 7011, 6590, 6915
6875, 565, 565, 6095, 5780, 5996
5833, 566, 566, 5938, 5832, 6042
6140, 567, 567, 4755, 5015, 5072
4928, 568, 568, 5346, 5455, 5133
5236, 569, 569, 5014, 4855, 5088
4966, 570, 570, 5784, 5555, 5554
5616, 571, 571, 5021, 4861, 4893
5097, 572, 572, 7599, 7500, 7329
7242, 573, 573, 4682, 4584, 4486
4627, 574, 574, 6962, 7255, 7118
7165, 575, 575, 513, 550, 1203
1132, 576, 576, 4048, 4320, 4148
4074, 577, 577, 4306, 4482, 4624
4676, 578, 578, 2553, 2723, 2911
2971, 579, 579, 5697, 5604, 5560
5463, 580, 580, 4559, 4712, 4593
4578, 581, 581, 5559, 5365, 5288
5357, 582, 582, 4823, 4678, 4600
4689, 583, 583, 4584, 4485, 4298
4486, 584, 584, 3463, 3107, 3451
3338, 585, 585, 2632, 2539, 2150
2490, 586, 586, 3888, 3688, 3882
4018, 587, 587, 5380, 5566, 5628
5430, 588, 588, 3835, 4004, 3694
3874, 589, 589, 5094, 5138, 5089
5018, 590, 590, 3385, 3704, 3651
3572, 591, 591, 3606, 3421, 3671
3338, 592, 592, 4230, 3918, 4262
4062, 593, 593, 4855, 4852, 5114
5113, 594, 594, 5735, 5552, 5788
5609, 595, 595, 5017, 4946, 5163
5089, 596, 596, 5261, 5378, 5408
5373, 597, 597, 5072, 5015, 5016
5162, 598, 598, 3660, 3638, 3607
3417, 599, 599, 3553, 3690, 3763
3881, 600, 600, 3092, 3147, 3232
2880, 601, 601, 4571, 4489, 4404
4367, 602, 602, 6938, 6665, 6707
6677, 603, 603, 3060, 2806, 2913
2950, 604, 604, 6061, 6433, 6259
6297, 605, 605, 3406, 3735, 3420
3608, 606, 606, 4221, 4342, 4365
4273, 607, 607, 5736, 5889, 5640
5791, 608, 608, 4928, 5074, 5072
4812, 609, 609, 4753, 4752, 4941
4932, 610, 610, 4941, 4752, 4959
4932, 611, 611, 4392, 4342, 4364
4269, 612, 612, 4226, 3964, 4177
4102, 613, 613, 3960, 3763, 3881
4126, 614, 614, 4223, 4489, 4404
4366, 615, 615, 3540, 3775, 3689
3768, 616, 616, 4231, 4104, 4053
4280, 617, 617, 4489, 4571, 4568
4367, 618, 618, 4269, 4220, 4051
4221, 619, 619, 3274, 3538, 3400
3405, 620, 620, 4460, 4288, 4435
4218, 621, 621, 3692, 3834, 3797
3995, 622, 622, 4063, 3833, 3959
4028, 623, 623, 4489, 4366, 4571
4404, 624, 624, 2960, 2817, 3239
2792, 625, 625, 4754, 4812, 4810
4928, 626, 626, 3857, 3819, 3691
3817, 627, 627, 3735, 3692, 3797
3995, 628, 628, 4861, 4868, 4893
5097, 629, 629, 5297, 5024, 5197
5169, 630, 630, 8682, 8680, 8972
8808, 631, 631, 5092, 5072, 4828
4888, 632, 632, 5341, 5291, 5163
5089, 633, 633, 4757, 4828, 4889
4946, 634, 634, 3421, 3420, 3671
3338, 635, 635, 3147, 2721, 2905
